http://www.bgmea.com.bd/member/details/53,"Dressmen Ltd.",dressmen-bd.com,"Hasan Abdullah"
http://www.bgmea.com.bd/member/details/54,"Misami Garments Ltd.",misami.com,"Miran Ali"
http://www.bgmea.com.bd/member/details/55,"Essential Garments Ltd.",essentailsweater.com,"Mostafa Golam Sarwar"
http://www.bgmea.com.bd/member/details/56,"N.A. Garments Ltd.",global-bd.net,"M. K. Siddiqi"
http://www.bgmea.com.bd/member/details/57,"GEM Apparels Ltd.","","A.M. Chowdhury"
http://www.bgmea.com.bd/member/details/58,"Newage Garments Ltd.",newage-group.com,"Asif Ibrahim"
http://www.bgmea.com.bd/member/details/59,"Nippon Garment Inds. Ltd.",aitlbd.net,"Abedin Md. Azimuddin Bhuain"
http://www.bgmea.com.bd/member/details/60,"Greenville Apparels Ltd.",bangla.net,"Gazi Md. Shahnawaz"
http://www.bgmea.com.bd/member/details/61,"Jokky Garments Ltd.",gononet.com,"Abdur Rouf Khan"
http://www.bgmea.com.bd/member/details/62,"Pearl Garments Company Ltd.",epicbd.com,"Dinesh Gope Virwani"
http://www.bgmea.com.bd/member/details/63,"Prime Garments Ltd.",primejeansbd.com,"Abu Zafar Ahmed"
http://www.bgmea.com.bd/member/details/64,"Consumer Products Limited",cpldhaka.com,"Alamgir Rahman"
http://www.bgmea.com.bd/member/details/65,"Continental Apparels Ltd.",citechco.net,"Rowshan Ara Rahman"
http://www.bgmea.com.bd/member/details/66,"Leader Garments Ltd.",bangla.net,"Minhaj Ahmed Choudhury"
http://www.bgmea.com.bd/member/details/67,"Dekko Garments Ltd.",dekkogroup.com,"M. Shahadat Hossain Kiron"
http://www.bgmea.com.bd/member/details/68,"Raymond Garments (Pvt.) Ltd.",citechco.net,"Benajir Ahmed"
http://www.bgmea.com.bd/member/details/69,"Majumder Garments Ltd.",majumder.org,"Syedul Haque Majumder"
http://www.bgmea.com.bd/member/details/70,"National Apparel Co. Ltd.",bdcom.com,"Dr. Abul Quasem"
http://www.bgmea.com.bd/member/details/71,"Orbital Garments Ltd.",yahoo.com,"Nauroz Ahmed"
http://www.bgmea.com.bd/member/details/72,"Duke Garments Limited",dukefocus.com,"Mahboob Siddique"
http://www.bgmea.com.bd/member/details/73,"Palmal Garments Ltd.",palmalgarments.com,"Engr. Md. Nurul Haque Sikder"
http://www.bgmea.com.bd/member/details/74,"Saminaz Garments Ltd.",gmail.com,"Md. Amir Hossain"
http://www.bgmea.com.bd/member/details/75,"Shanta Garments Ltd.",sgl.shantagroup.com,"Khondoker Moniruddin"
http://www.bgmea.com.bd/member/details/76,"Rishal Garments Ltd.",rishalgroup.com,"Shakhawat Hossain"
http://www.bgmea.com.bd/member/details/77,"Sidko Ltd. (Garments Division)",global-bd.net,"M. K. Siddiqi"
http://www.bgmea.com.bd/member/details/78,"Islam Garments Ltd.",islam-garments.com,"Md. Atiqul Islam"
http://www.bgmea.com.bd/member/details/79,"Sparrow Apparels Ltd.","","Prof. Mazharul Islam"
http://www.bgmea.com.bd/member/details/80,"Star Garments (Pvt.) Ltd.",bdmail.net,"Zubair Ahmed Khan"
http://www.bgmea.com.bd/member/details/81,"Sundarban Garments",bttb.net.bd,"Nawsher Hayat Khan"
http://www.bgmea.com.bd/member/details/82,"Evana Garments Ltd.","","Md. Kamrul Islam Swapan"
http://www.bgmea.com.bd/member/details/83,"Opex Garments Ltd.",bdmail.net,"Capt.(Rtd) Anisur Rahman Sinha"
http://www.bgmea.com.bd/member/details/84,"Fortuna Apparels Ltd.",fortuna-group.com,"Engr. M. Abu Taher"
http://www.bgmea.com.bd/member/details/85,"Stylo Apparels Industries Ltd.",stylogroup.net,"Hasan Ahmed"
http://www.bgmea.com.bd/member/details/86,"Hexa Garments (Pvt) Ltd.","","Md. Azizul Islam"
http://www.bgmea.com.bd/member/details/87,"United Readywears Ltd.",mtlbd.net,"Ashraf U. Ahmed"
http://www.bgmea.com.bd/member/details/88,"Tropica Garments Ltd.",tropica-bd.com,"Mohammad A. Moyeen"
