V2,norm,typ
Industry Ltd.,INDUSTRY,accord
RAQUEF FASHION LTD,RAQUEF FASHION,accord
Rashed Export Ltd,RASHED EXPORT,accord
Ratool Apparels,RATOOL APPARELS,accord
Ratul Fabrics Ltd,RATUL FABRICS,accord
RATUL KNITWEARS LIMITED,RATUL KNIT WEARS,accord
Raza Knit (BD) Ltd.,RAZA KNIT BD,accord
Reaz Export Apparels Ltd,REAZ EXPORT APPARELS,accord
Redpoint Jackets Ltd.,REDPOINT JACKETS,accord
REDWAN TEX,REDWAN TEX,accord
Reedisha,REEDISHA,accord
REEDISHA Knitex (bd) Ltd.,REEDISHA KNITEX BD,accord
Reedisha Knitex Ltd,REEDISHA KNITEX,accord
Regency Garments Limited,REGENCY GARMENTS,accord
"Regency Garments Ltd., unit # 2Plot # 7‚Äê9, Sector # 4, CEPZ,, CEPZ, Chittagong","REGENCY GARMENTS LTD, UNIT # 2PLOT # 7‚ÄÊ9, SECTOR # 4, CEPZ,, CEPZ, CHITTAGONG",accord
REGENCY THREE LTD,REGENCY THREE,accord
"Regency Three Ltd., unit # 5FS‚ÄêSFB 3, BEPZA Building, Ground floor (both","REGENCY THREE LTD, UNIT # 5FS‚ÄÊSFB 3, BEPZA BUILDING, GROUND FLOOR BOTH",accord
Regent Textiles,REGENT TEXTILES,accord
Reliance Denim Ind Ltd,RELIANCE DENIM IND,accord
RENAISSANCE APPARELS LTD,RENAISSANCE APPARELS,accord
Rex Composite Knit Wears Ltd.,REX COMPOSITE KNIT WEARS,accord
Reytex Fashion Wears Ltd.,REYTEX FASHION WEARS,accord
Reza Fashion Ltd,REZA FASHION,accord
REZAUL & BROTHERS,REZAUL & BROTHERS,accord
RGR Sweater Ltd.,RGR SWEATER,accord
Rio Fashion Wear Ltd,RIO FASHION WEAR,accord
Ripon Knitwear Ltd,RIPON KNITWEAR,accord
Rising Fashions Ltd.,RISING FASHIONS,accord
River Side Sweater Ltd,RIVER SIDE SWEATER,accord
Riviera Resources Ltd.,RIVIERA RESOURCES,accord
RL Denim Limited,RL DENIM,accord
Robintex (Bangladesh) Ltd.,ROBINTEX BANGLADESH,accord
Garments Ltd,GARMENTS,accord
Romo Fashion Today Ltd.,ROMO FASHION TODAY,accord
RONGDHONU SWEATER LTD,RONGDHONU SWEATER,accord
Rony Fashion and Knitwear Ltd.,RONY FASHION AND KNITWEAR,accord
RONY KNIT WEAR (PVT.) LTD.,RONY KNIT WEAR PVT,accord
Rose Garden Apparels Ltd.,ROSE GARDEN APPARELS,accord
Rose Sweaters Ltd (Unit‚Äê2),ROSE SWEATERS LTD UNIT‚ÄÊ2,accord
Roshawa Fabrics Ltd.,ROSHAWA FABRICS,accord
Rowa Knitwear,ROWA KNITWEAR,accord
Rowa woven factory,ROWA WOVEN FACTORY,accord
Rudmila Knitwear Ltd.,RUDMILA KNITWEAR,accord
Rumana Fashion Ltd.,RUMANA FASHION,accord
Running fashions ltd,RUNNING FASHIONS,accord
Rupa Knitwear,RUPA KNITWEAR,accord
Rupa wool wear ltd,RUPA WOOL WEAR,accord
RUPASHI FABRICS COMPLEX ( PVT ) LTD.,RUPASHI FABRICS COMPLEX  PVT,accord
Rupashi Knit Wears Ltd.,RUPASHI KNIT WEARS,accord
Russel Apparels & Ekram Sweater Ltd,RUSSEL APPARELS & EKRAM SWEATER,accord
RUSSEL GARMENTS,RUSSEL GARMENTS,accord
"RUSSEL GARMENTS UNIT‚Äê2East Delpara, Kutubpur, Fatulla","RUSSEL GARMENTS UNIT‚ÄÊ2EAST DELPARA, KUTUBPUR, FATULLA",accord
S & N Camabi,S & N CAMABI,accord
S B Style Composite Ltd.,S B STYLE COMPOSITE,accord
S M KNITWEARS LTD,S M KNITWEARS,accord
S. F. APPARELS LTD.,S F APPARELS,accord
S. F. DENIM APPARELS LTD.,S F DENIM APPARELS,accord
S. F. FASHION WEARS LTD.,S F FASHION WEARS,accord
S. Suhi Industrial Park Ltd.,S SUHI INDUSTRIAL PARK,accord
S.B. Duying,SB DUYING,accord
S.I.KNITTING LTD,SI KNITTING,accord
S.K. Sweaters Ltd.,SK SWEATERS,accord
S.M.I Production,SMI PRODUCTION,accord
S.P.M. Designs Ltd,SPM DESIGNS,accord
S.Six Fashions Pvt Ltd,SSIX FASHIONS PVT,accord
SAAD MUSA FABRICS LTD (UNIT‚Äê2),SAAD MUSA FABRICS LTD UNIT‚ÄÊ2,accord
Saad Saan App.Ltd,SAAD SAAN APP,accord
SAADATIA  SWEATERS LTD.,SAADATIA  SWEATERS,accord
Saasco Tex Bd Ltd,SAASCOTEX BD,accord
Saascotex (Bd) Ltd.,SAASCOTEX BD,accord
SABARANG FASHIONS LTD,SABARANG FASHIONS,accord
Sacred Fashions Ltd.,SACRED FASHIONS,accord
Sadaf Fashions Limited,SADAF FASHIONS,accord
Sadat Composite Knit Ind. Ltd.,SADAT COMPOSITE KNIT IND,accord
Sadma Fashion Wear Ltd.,SADMA FASHION WEAR,accord
Safia Apparels Limited,SAFIA APPARELS,accord
SAIHAM KNIT COMPOSITE LTD.,SAIHAM KNIT COMPOSITE,accord
Sakura Dyeiing + Garments LTD,SAKURA DYEIING + GARMENTS,accord
SALIM & BROTHERS LIMITED.,SALIM & BROTHERS,accord
SALIM & BROTHERS LTD (UNIT‚Äê2),SALIM & BROTHERS LTD UNIT‚ÄÊ2,accord
Salman Adnan (Pvt) Ltd,SALMAN ADNAN PVT,accord
Sam sweaters ltd.,SAM SWEATERS,accord
Samad Sweater ltd,SAMAD SWEATER,accord
SAMOTAF APPARELS LIMITED,SAMOTAF APPARELS,accord
Samrat,SAMRAT,accord
Sams Attire Ltd,SAMS ATTIRE,accord
SAMS FASHION LTD,SAMS FASHION,accord
Sark Knitwear Ltd.,SARK KNITWEAR,accord
SATURN TEXTILES LTD.,SATURN TEXTILES,accord
Saturn Textiles Ltd.(Woven Division),SATURN TEXTILES LTDWOVEN DIVISION,accord
SAVANNAH FASHIONS LTD,SAVANNAH FASHIONS,accord
Savar Shirts Ltd.,SAVAR SHIRTS,accord
SAVAR SWEATERS LTD,SAVAR SWEATERS,accord
"Saville Row Limited.,","SAVILLE ROW LTD,",accord
Sayam Knit Fab,SAYAM KNIT FAB,accord
Ltd.,,accord
Scandex (Bd) Ltd,SCANDEX BD,accord
Scandex Knitwear Limited (Unit 1),SCANDEX KNITWEAR LTD UNIT 1,accord
Scandex Knitwear Limited (Unit 2),SCANDEX KNITWEAR LTD UNIT 2,accord
International Trading),INTERNATIONAL TRADING,accord
Scarlet Knitwears Ltd.,SCARLET KNITWEARS,accord
Sea Tex Ltd.,SEA TEX,accord
Seacotex Fabrics Ltd,SEACOTEX FABRICS,accord
Seasons Dresses Ltd.,SEASONS DRESSES,accord
SECTION SEVEN APPARELS LIMITED,SECTION SEVEN APPARELS,accord
Singapore Pte. Ltd),SINGAPORE PTE,accord
Section Seven Limited,SECTION SEVEN,accord
Seha design ltd,SEHA DESIGN,accord
SEIDENSTICKER Int'l,SEIDENSTICKER INTL,accord
Self Innovative Fashion Ltd.,SELF INNOVATIVE FASHION,accord
Selina Apparels Ltd,SELINA APPARELS,accord
SENSIBLE KNIT WEAR,SENSIBLE KNIT WEAR,accord
Seo Wan Bangladesh Ltd.,SEO WAN BANGLADESH,accord
"Seowan Bangladesh Ltd. Unit‚Äê2Islam Plaza, 5,6 &7th Floor, Road# 3, Block # 7,","SEOWAN BANGLADESH LTD UNIT‚ÄÊ2ISLAM PLAZA, 5,6 &7TH FLOOR, ROAD# 3, BLOCK # 7,",accord
Sepal Garments Ltd,SEPAL GARMENTS,accord
Sepal Washing Plant Ltd.,SEPAL WASHING PLANT,accord
SERAJSONS,SERAJSONS,accord
Setara Knitwear Ltd.,SETARA KNITWEAR,accord
SF Sweaters Ltd.,SF SWEATERS,accord
Shabab Fabrics Ltd,SHABAB FABRICS,accord
SHADE FASHIONS,SHADE FASHIONS,accord
Shadhin Garments Ltd,SHADHIN GARMENTS,accord
SHAFI PROCESSING INDUSTRIES LTD.,SHAFI PROCESSING INDUSTRIES,accord
Shagore Garments Ltd,SHAGORE GARMENTS,accord
SHAH Makhdum Garments limited.,SHAH MAKHDUM GARMENTS,accord
Shahaba Knitwear Ltd.,SHAHABA KNITWEAR,accord
Shahrin Fashion Wear Limited,SHAHRIN FASHION WEAR,accord
SHAHRIN FASHION WEAR LIMITED,SHAHRIN FASHION WEAR,accord
Shamrin Tex Ltd,SHAMRIN TEX,accord
SHAMS STYLING WEARS LTD,SHAMS STYLING WEARS,accord
"Shanta Denims Limited (Plot#156 And 177) Plot#156 And 177, Depz, Ganakbari, Savar","SHANTA DENIMS LTD PLOT#156 AND 177 PLOT#156 AND 177, DEPZ, GANAKBARI, SAVAR",accord
223),223,accord
Shanta Expression Limited,SHANTA EXPRESSION,accord
Shanta Garments Ltd.,SHANTA GARMENTS,accord
Sharmin Apparels Ltd,SHARMIN APPARELS,accord
Sharmin Fashions Limited.,SHARMIN FASHIONS,accord
Sharoms Samsons Winter Wear,SHAROMS SAMSONS WINTER WEAR,accord
Shasha Garments,SHASHA GARMENTS,accord
Shezads Designwear Ltd,SHEZADS DESIGNWEAR,accord
SHIN SHIN APPARELS LTD.,SHIN SHIN APPARELS,accord
Shine Fashion Co. (Pvt) Ltd.,SHINE FASHION CO PVT,accord
SHINEST APPARELS,SHINEST APPARELS,accord
Shirt Makers Limitede,SHIRT MAKERS LTDE,accord
SHIRTS MINE LTD,SHIRTS MINE,accord
SHISHIR KNITTING & DYEING LTD,SHISHIR KNITTING & DYEING,accord
Shomahar Sweaters Ltd,SHOMAHAR SWEATERS,accord
Shore to Shore Textiles,SHORE TO SHORE TEXTILES,accord
SHOVON KNITWEAR LTD,SHOVON KNITWEAR,accord
Shristy Fashion,SHRISTY FASHION,accord
Shyms Fashion Ltd.,SHYMS FASHION,accord
SI KNITTING LTD.,SI KNITTING,accord
"Siam's Superior Ltd unit‚Äê2Sector ‚Äê1, Plot No. 6,7,8 CEPZ","SIAMS SUPERIOR LTD UNIT‚ÄÊ2SECTOR ‚ÄÊ1, PLOT NO 6,7,8 CEPZ",accord
SIAM'S SUPERIOR LTD.,SIAMS SUPERIOR,accord
Sidko Limited,SIDKO,accord
"SIENKEE APPARELS LTD (Bariali,Chandona)","SIENKEE APPARELS LTD BARIALI,CHANDONA",accord
Complex),COMPLEX,accord
EPZ),EPZ,accord
Sigma Fashion Ltd.,SIGMA FASHION,accord
SIGMA FASHIONS LTD.,SIGMA FASHIONS,accord
SIKDER APPAREL HOSIERY Ltd,SIKDER APPAREL HOSIERY,accord
Silken Sewing Ltd,SILKEN SEWING,accord
Simba Fashions Limited,SIMBA FASHIONS,accord
SIMCO FASHIONS LTD,SIMCO FASHIONS,accord
"Sincere Knit Garments Ltd Unit‚Äê1East Isdair, Chandmari, Fatullah, Narayanganj","SINCERE KNIT GARMENTS LTD UNIT‚ÄÊ1EAST ISDAIR, CHANDMARI, FATULLAH, NARAYANGANJ",accord
Sincere Knit Wears Ltd,SINCERE KNIT WEARS,accord
SINHA DENIM WEAR LTD.,SINHA DENIM WEAR,accord
Sinha Fabrics Ltd.,SINHA FABRICS,accord
Sinha Knit Industries Limited,SINHA KNIT INDUSTRIES,accord
Sinha Knitting Ltd.,SINHA KNITTING,accord
SIR DENIM LTD,SIR DENIM,accord
Sirajgonj Fashions Limited,SIRAJGONJ FASHIONS,accord
SKYLINE CASUAL APPARELS LTD.,SKYLINE CASUAL APPARELS,accord
SM Knit Wear,SM KNIT WEAR,accord
SM Knits,SM KNITS,accord
Smart Jacket LTd /Sheehan Textiles Ltd,SMART JACKET LTD /SHEEHAN TEXTILES,accord
Smart Jackets (BD) Ltd,SMART JACKETS BD,accord
Smart Jeans,SMART JEANS,accord
Smart Knitwear Ltd.,SMART KNITWEAR,accord
Smee Apparels Ltd.,SMEE APPARELS,accord
Smh New Generation Apparels Ltd,SMH NEW GENERATION APPARELS,accord
Smug Sweater Ltd,SMUG SWEATER,accord
Snow White Composite Ltd.,SNOW WHITE COMPOSITE,accord
Snowtex Apparels Ltd.,SNOWTEX APPARELS,accord
"SOFTEX COTTON UNIT 1Hazi Kuzrat Ali Mollah Super Market, 1N,","SOFTEX COTTON UNIT 1HAZI KUZRAT ALI MOLLAH SUPER MARKET, 1N,",accord
"SOFTEX COTTON UNIT 2Hazi Kuzrat Ali Mollah Super Market, 1N,","SOFTEX COTTON UNIT 2HAZI KUZRAT ALI MOLLAH SUPER MARKET, 1N,",accord
Softex Sweaters,SOFTEX SWEATERS,accord
Sonali Aansh Industries Limited,SONALI AANSH INDUSTRIES,accord
Sonia Fine Knit Ltd,SONIA FINE KNIT,accord
SONIA Limited.,SONIA,accord
Sonia Sweaters Ltd.,SONIA & SWEATERS,accord
Sourov Hosiery,SOUROV HOSIERY,accord
Sourthen Clothing Limited,SOURTHEN CLOTHING,accord
"South East ( Interstoff Group )Gorai, Mirzapur, Tangail","SOUTH EAST  INTERSTOFF GROUP GORAI, MIRZAPUR, TANGAIL",accord
"South East Textile (Interstoff Apparels Ltd) Gorai, Mirzapur","SOUTH EAST TEXTILE INTERSTOFF APPARELS LTD GORAI, MIRZAPUR",accord
Southend Sweater Co.Ltd.,SOUTH END SWEATER CO,accord
POSHAK SHILPA LTD,POSHAK SHILPA,accord
Southern Garments Ltd,SOUTHERN GARMENTS,accord
Southern Knitwear Ltd.,SOUTHERN KNITWEAR,accord
Southern Poshak Shilpa Ltd.,SOUTHERN POSHAK SHILPA,accord
Southwest Composite ltd,SOUTH WEST COMPOSITE,accord
Space Sweater Limited,SPACE SWEATER,accord
"Sparrow Apparels Ltd.,","SPARROW APPARELS LTD,",accord
Spectra Sweater Ltd,SPECTRA SWEATER,accord
Ltd.),,accord
Spencer Design Ltd,SPENCER DESIGN,accord
Spicy Fashion,SPICY FASHION,accord
Spotfame Apparels Ltd.,SPOTFAME APPARELS,accord
SPRING TRADE LTD.,SPRING TRADE,accord
SQ Birichina Ltd,SQ BIRICHINA,accord
SQ Celsius Limited,SQ CELSIUS,accord
SQUARE FASHIONS LTD,SQUARE FASHIONS,accord
Square Fashions Ltd ‚Äê Unit 2,SQUARE FASHIONS LTD ‚ÄÊ UNIT 2,accord
"Square Fashions Ltd, Unit‚Äê2","SQUARE FASHIONS LTD, UNIT‚ÄÊ2",accord
SRT Fashions Ltd.,SRT FASHIONS,accord
UNIT),UNIT,accord
"Star Garments( Pvt Ltd )Sha‚Äê23, Middle Badda","STAR GARMENTS PVT LTD SHA‚ÄÊ23, MIDDLE BADDA",accord
Starlet apparel ltd,STARLET APPAREL,accord
Starlight Sweaters,STARLIGHT SWEATERS,accord
Steilmann,STEILMANN,accord
Step Three Apparel Ltd,STEP THREE APPAREL,accord
STERLING APPARELS LTD,STERLING APPARELS,accord
Sterling Creations Ltd,STERLING CREATIONS,accord
Sterling Denim Ltd.,STERLING DENIM,accord
STERLING STYLES LTD,STERLING STYLES,accord
Stilvoll Knitwear Ltd,STILVOLL KNITWEAR,accord
STITCH APPARELS LIMITED,STITCH APPARELS,accord
Stitch Right Limited,STITCH RIGHT,accord
Stitchtone Apparels Ltd.,STITCHTONE APPARELS,accord
Stitchwell Designs Ltd (348/1/A Tejgaon),STITCHWELL DESIGNS LTD 348/1/A TEJGAON,accord
"Stitchwell Designs Ltd (430/1/A, Tejgaon)","STITCHWELL DESIGNS LTD 430/1/A, TEJGAON",accord
STOFFATEX FASHIONS LIMITED,STOFFA TEX FASHIONS,accord
Stylecraft Limited,STYLECRAFT,accord
Stylo Fashion Garments Ltd.,STYLO FASHION GARMENTS,accord
Styrax Fashion Limited,STYRAX FASHION,accord
SUMAN FASHION GARMENTS LTD,SUMAN FASHION GARMENTS,accord
Sumi Apparels Pvt. Ltd.,SUMI APPARELS PVT,accord
Sun Cherry Body Fashions Mfty Ltd.,SUN CHERRY BODY FASHIONS MFTY,accord
SungKwang Apparels Ltd,SUNGKWANG APPARELS,accord
Supasox Ltd.,SUPASOX,accord
Super knitting & Dying mills ltd,SUPER KNITTING & DYING MILLS,accord
SUPREME KNITWEAR LTD,SUPREME KNITWEAR,accord
Supreme Stitch Ltd.,SUPREME STITCH,accord
Suravee Garments Limited,SURAVEE GARMENTS,accord
Surma Garments Ltd.,SURMA GARMENTS,accord
Susuka Knit Ltd,SUSUKA KNIT,accord
Swan Jeans Ltd,SWAN JEANS,accord
SWAN1 SWEATER,SWAN1 SWEATER,accord
Sweater Apparels Ltd.,SWEATER APPARELS,accord
SWEATER COTTAGE LTD.,SWEATER COTTAGE,accord
SWEATER Makers Ltd.,SWEATER MAKERS,accord
SWEATER Makers Ltd.,SWEATER MAKERS,accord
SWEATER ZONE LTD,SWEATER ZONE,accord
Sweatertech Ltd.,SWEATERTECH,accord
Syntex knitwear Ltd,SYNTEX KNITWEAR,accord
Tafop Apparels Ltd.,TAFOP APPARELS,accord
Tahersons Fashions Limited,TAHERSONS FASHIONS,accord
Tajir Apparels Ltd.,TAJIR APPARELS,accord
TALISMAN LTD (Unit 1&2),TALISMAN LTD UNIT 1&2,accord
Talisman Ltd. (c/o FCI (BD) Ltd),TALISMAN LTD C/O FCI BD,accord
Tamanna Sweater Ltd,TAMANNA SWEATER,accord
Tamishna Fashion Wear Ltd,TAMISHNA FASHION WEAR,accord
Tamishna Fashion Wear Ltd(Unit‚Äê2),TAMISHNA FASHION WEAR LTDUNIT‚ÄÊ2,accord
Tammam Design Ltd,TAMMAM DESIGN,accord
Tanaz Fashions Ltd.,TANAZ FASHIONS,accord
TANDEM SWEATERS LTD,TANDEM SWEATERS,accord
Tangon Garments Ltd.,TANGON GARMENTS,accord
Tangon Knitwear Ltd.,TANGON KNITWEAR,accord
"TANƒ∞MA KNƒ∞T COMPOSƒ∞TE LTD (JK GROUP) 10 South Dariapur,Savar, Dhaka","TANƑ∞MA KNƑ∞T COMPOSƑ∞TE LTD JK GROUP 10 SOUTH DARIAPUR,SAVAR, DHAKA",accord
Tanzila Textile Ltd,TANZILA TEXTILE,accord
Taqwa Fabrics Ltd.,TAQWA FABRICS,accord
Tarasima Apparels Limited,TARASIMA APPARELS,accord
Taratex Fashion Limited,TARATEX FASHION,accord
Target Fine Wear Industries,TARGET FINE WEAR INDUSTRIES,accord
Tasniah Fabrics Ltd.,TASNIAH FABRICS,accord
Taufiq Sweater Ltd.,TAUFIQ SWEATER,accord
Tean T‚ÄêShirt Fashion Ltd.,TEAN T‚ÄÊSHIRT FASHION,accord
TEB Fashion Int. Ltd,TEB FASHION INT,accord
Techno Dress Ltd.,TECHNO DRESS,accord
"Teidem GmbH (Chashara, NARAYANGANJ)","TEIDEM GMBH CHASHARA, NARAYANGANJ",accord
Teidem GmbH (Fatullah NARAYANGONJ),TEIDEM GMBH FATULLAH NARAYANGONJ,accord
"Teidem GmbH (Lalpur, Ftullah)","TEIDEM GMBH LALPUR, FTULLAH",accord
TEMAKAW FASHION LTD,TEMAKAW FASHION,accord
TEX ANDERSON,TEX ANDERSON,accord
Texeurop (BD) Ltd.,TEXEUROP BD,accord
TexTech Co. Ltd,TEX TECH CO,accord
Textile Horizon,TEXTILE HORIZON,accord
"Textile trade & services manufacturing Ltd. Dilan Complex, 1st & 2nd fl., Dhaka Road,","TEXTILE TRADE & SERVICES MANUFACTURING LTD DILAN COMPLEX, 1ST & 2ND FL, DHAKA ROAD,",accord
TEXTOWN LIMITED,TEX TOWN,accord
Packaging & Printing Ltd.,PACKAGING & PRINTING,accord
Thanis Apparels Ltd,THANIS APPARELS,accord
THAT'S IT KNIT,THATS IT KNIT,accord
That's It Sports Wear Ltd.,THATS IT SPORTS WEAR,accord
The Chittagong Fashion,THE CHITTAGONG FASHION,accord
The Cloth & Fashion,THE CLOTH & FASHION,accord
The Delta Composite Knitting,THE DELTA COMPOSITE KNITTING,accord
The Fashion Island Ltd.,THE FASHION ISLAND,accord
THE FINERY Lƒ∞Mƒ∞TED,THE FINERY LƑ∞MƑ∞TED,accord
The Immaculate App. Ltd.,THE IMMACULATE APP,accord
The Immaculate PVT Ltd.,THE IMMACULATE PVT,accord
The Mohammadi Limited (Joar Sahara),THE MOHAMMADI LTD JOAR SAHARA,accord
THE NEED APPARELS (PVT) LTD,THE NEED APPARELS PVT,accord
International Trading),INTERNATIONAL TRADING,accord
The New Delta Apparels Ltd.,THE NEW DELTA APPARELS,accord
The Rose Dresses Ltd.,THE ROSE DRESSES,accord
The Shanin Clothing Limited,THE SHANIN CLOTHING,accord
The Shanin Corp,THE SHANIN CORP,accord
Trading),TRADING,accord
The Shanin Ltd,THE SHANIN,accord
THE WELL TEX LTD,THE WELL TEX,accord
The Yolk Garments Ltd,THE YOLK GARMENTS,accord
Thina Sweaters ltd,THINA SWEATERS,accord
"Tiffinys Wear Limited.,","TIFFINYS WEAR LTD,",accord
Titanic Products Limited,TITANIC PRODUCTS,accord
Titas Knitwear Ltd,TITAS KNITWEAR,accord
Titas Sweater Industries Limited,TITAS SWEATER INDUSTRIES,accord
TM FASHIONS LTD,TM FASHIONS,accord
T‚ÄêMart Computerised Sweater Ltd.,T‚ÄÊMART COMPUTERISED SWEATER,accord
TNZ Apparels Ltd.,TNZ APPARELS,accord
Todays Knit Fashion,TODAYS KNIT FASHION,accord
Tokio Mode Ltd,TOKIO MODE,accord
Top Style Sweater Ltd,TOP STYLE SWEATER,accord
TOPAZ,TOPAZ,accord
Topaz Dresses Limitted,TOPAZ DRESSES LIMITTED,accord
Topaz Garments Ltd.,TOPAZ GARMENTS,accord
Torque Fashions Ltd,TORQUE FASHIONS,accord
Tory Fashion Wear Ltd,TORY FASHION WEAR,accord
Tosrifa Industries Ltd.,TOSRIFA INDUSTRIES,accord
Total Fashion Ltd.,TOTAL FASHION,accord
Toyo Composite Knit Garments,TOYO COMPOSITE KNIT GARMENTS,accord
Trade sweater Factory ltd,TRADE SWEATER FACTORY,accord
Transworld Sweater Ltd.,TRANSWORLD SWEATER,accord
TRICOTEX SWEATERS LTD,TRICOTEX SWEATERS,accord
TRIPPLE SEVEN,TRIPPLE SEVEN,accord
TROPICA GARMENTS LTD,TROPICA GARMENTS,accord
Trouser Line Ltd.,TROUSER LINE,accord
Trouser World (PVT) LTD.,TROUSER WORLD PVT,accord
Trust Knitwear Industries Ltd.,TRUST KNITWEAR INDUSTRIES,accord
TRUST TROUSER,TRUST TROUSER,accord
TRYBE FASHION LTD(Bodystretch),TRYBE FASHION LTDBODYSTRETCH,accord
TRZ GARMENTS INDUSTRY LTD.,TRZ GARMENTS INDUSTRY,accord
TS Sweater Ltd.,TS SWEATER,accord
T‚ÄêShirt Fashion Ltd.,T‚ÄÊSHIRT FASHION,accord
TTS MANUFACTURING LTD,TTS MANUFACTURING,accord
Tuba Garments Ltd.,TUBA GARMENTS,accord
"TULIP GARMENTS LTD ( CONCORD GROUP) 52, NEW ELEPHANT ROAD, DHAKA","TULIP GARMENTS LTD  CONCORD GROUP 52, NEW ELEPHANT ROAD, DHAKA",accord
Tung Hai Knitting & Dyeing Ltd,TUNG HAI KNITTING & DYEING,accord
Tung Hai Sweaters Limited,TUNG HAI SWEATERS,accord
TUNIC FASHION LTD,TUNIC FASHION,accord
Turag Garments Hosiery Mills Ltd,TURAG GARMENTS HOSIERY MILLS,accord
Tusaka,TUSAKA,accord
TUSUKA APPARELS LTD,TUSUKA APPARELS,accord
TUSUKA FASHION LTD,TUSUKA FASHION,accord
TUSUKA JEANS & POLO LTD,TUSUKA JEANS & POLO,accord
TUSUKA JEANS LTD,TUSUKA JEANS,accord
TUSUKA TROUSERS LTD,TUSUKA TROUSERS,accord
Tusuka Trousers*Jeans*Processing Ltd,TUSUKA TROUSERS*JEANS*PROCESSING,accord
Uday Sweaters Ltd,UDAY SWEATERS,accord
UNIBRA WEAR LTD.,UNIBRA WEAR,accord
"Bhangnahati,Sreepur,Gazipur‚Äê1740","BHANGNAHATI,SREEPUR,GAZIPUR‚ÄÊ1740",accord
Unilliance Textiles Limited,UNILLIANCE TEXTILES,accord
Union Apparels Ltd,UNION APPARELS,accord
Union Fashion,UNION FASHION,accord
Union Knitwear Ltd.,UNION KNITWEAR,accord
Union Sportswear Ltd.,UNION SPORTSWEAR,accord
Union Sportswear Ltd. (Bypile Unit),UNION SPORTSWEAR LTD BYPILE UNIT,accord
Unisense App.Ltd.,UNISENSE APP,accord
Unison Design Limited,UNISON DESIGN,accord
"United Apparel Industry Ltd. Unit 1House No. 65, G.M. Bari, Satarkul Road North,","UNITED APPAREL INDUSTRY LTD UNIT 1HOUSE NO 65, GM BARI, SATARKUL ROAD NORTH,",accord
"United Apparel Industry Ltd. Unit 2House No. 20, Block B, Ward 5, Shaheed Minnat,","UNITED APPAREL INDUSTRY LTD UNIT 2HOUSE NO 20, BLOCK B, WARD 5, SHAHEED MINNAT,",accord
United Attires Ltd.,UNITED ATTIRES,accord
United Costume (Pvt) Ltd.,UNITED COSTUME PVT,accord
United Duying,UNITED DUYING,accord
United Fashion Trouser Ltd.,UNITED FASHION TROUSER,accord
United Knitwears (pvt) Ltd.,UNITED KNIT WEARS PVT,accord
Unitex Knit Wear Ltd,UNITEX KNIT WEAR,accord
Unitrade Fashions Ltd.,UNITRADE FASHIONS,accord
Universal Jeans Ltd,UNIVERSAL JEANS,accord
UNIVERSAL MENSWEAR LTD,UNIVERSAL MENSWEAR,accord
Univogue Garments Co. Ltd.,UNIVOGUE GARMENTS CO,accord
UPDATE APPARELS LTD.,UPDATE APPARELS,accord
Update Fashions Ltd,UPDATE FASHIONS,accord
URMI GARMENTS LTD,URMI GARMENTS,accord
UTAH APPARELS LTD,UTAH APPARELS,accord
UTAH Fashions Ltd,UTAH FASHIONS,accord
UTAH KNITTING AND DYEING LTD.,UTAH KNITTING AND DYEING,accord
Uttara Knitwears Ltd,UTTARA KNITWEARS,accord
Valmont Fashions Ltd.,VALMONT FASHIONS,accord
VANCOT LIMITED.,VANCOT,accord
Vartual Knitwear Ltd.,VARTUAL KNITWEAR,accord
VERSATILE APPARELS LTD,VERSATILE APPARELS,accord
Versatile Textiles Ltd.,VERSATILE TEXTILES,accord
VERTEX FASHION LTD,VERTEX FASHION,accord
VERTEX INNOVATIVE APPARELS LTD,VERTEX INNOVATIVE APPARELS,accord
Vertex RMG Division,VERTEX RMG DIVISION,accord
Vertex Wear Limited.,VERTEX WEAR,accord
Victory Knittings Ltd,VICTORY KNITTINGS,accord
Vintage Denim Ltd.,VINTAGE DENIM,accord
Vintage Denim Studio Ltd.,VINTAGE DENIM STUDIO,accord
Vintage Garments Ltd,VINTAGE GARMENTS,accord
Virtual Bottoms Ltd.,VIRTUAL BOTTOMS,accord
Virtual Fashions Ltd.,VIRTUAL FASHIONS,accord
Virtual Knit and Leisurewear Ltd,VIRTUAL KNIT AND LEISUREWEAR,accord
VISION APPARELS (PVT) LTD,VISION APPARELS PVT,accord
Vision Composite Knite Ltd.,VISION COMPOSITE KNIT,accord
Vision Garments Ltd.,VISION GARMENTS,accord
Visual Knitwares Ltd.,VISUAL KNITWARES,accord
Viyellatex Limited,VIYELLATEX,accord
"Viyellatex Limited ‚Äê Unit 2Shirin Chowdhury Complex, Vogra, Joydevpur","VIYELLATEX LTD ‚ÄÊ UNIT 2SHIRIN CHOWDHURY COMPLEX, VOGRA, JOYDEVPUR",accord
V‚ÄêKnitwear & Composite Ltd.,V‚ÄÊKNITWEAR & COMPOSITE,accord
Voyager Apparels Ltd,VOYAGER APPARELS,accord
W Apparels,W APPARELS,accord
Waltz Fashions,WALTZ FASHIONS,accord
Wave Tex Apparels Ltd,WAVE TEX APPARELS,accord
Wear Mag Limited,WEAR MAG,accord
BANGLADESH.,BANGLADESH,accord
Wega Stylewise (pvt)Ltd.,WEGA STYLE WISE PVT,accord
Weldone Apparel Ltd,WELDONE APPAREL,accord
