factory_name,oc id,oc name
Bonny Apparels (Pvt.) Limited,/companies/bd/C-22358,Bonny Apparels (Pvt.) Limited
Narail Garments (Pvt) Ltd.,,
Northern Corporation Ltd.,,
Linkon Apparel Ltd.,,
Tinab Fashions Ltd.,/companies/bd/C-23345,Tinab Fashions Ltd.
Perfect Sharp Apparel Ltd.,,
The Bay Super Textile Mills Ltd.,/companies/bd/C-14668,The Bay Super Textile Mills Ltd.
Warika Fashions Ltd.,,
Prostar Knitted Hats & Gloves Mfg. Ltd.,,
Essar Apparels Limited.,/companies/bd/C-22093,Essar Apparels Limited.
Design & Fashion Ltd.,,
Camellia Apparels Limited,,
M.A. Knitters Ltd.,,
Hong Kong Garments Ltd.,,
B.K. Knit Fashion Ltd.,/companies/bd/C-25073,B.K. Knit Fashion Ltd.
Wonder Apparels Ltd.,,
GK Garments Ltd. (U-2),,
Florence Apparels Ltd.,,
Shawn Associate Ltd.,,
Eurotex Ltd.,,
Grand Attires Ltd.,,
Texas Apparels Ltd.,,
Venix Bangladesh Ltd,/companies/bd/C-38434,Venix Bangladesh Ltd
Fashion Network Ltd.,,
Nassa Apparels Ltd.,/companies/bd/C-23183,Nassa Apparels Ltd.
Sinha Fashions Ltd.,,
M.B.M. Fashion Wear Ltd.,/companies/bd/C-24069,M.B.M. Fashion Wear Ltd.
Tripos Engineering & Trading Co. (G.D.),,
Dipta Garments Ltd.,,
Alpine Apparels Ltd.,,
Florida Fashions (Pvt) Ltd.,,
B.M. Garments (Pvt.) Ltd.,/companies/bd/C-20670,B.M. Garments (Pvt.) Ltd.
Spotfame Apparels Ltd.,,
Dwell Fashions Limited,/companies/bd/C-21259,Dwell Fashions Limited
Fashion Care Ltd.,/companies/bd/C-23530,Fashion Care Ltd.
K.B. Apparels Limited,/companies/bd/C-21276,K.B. Apparels Limited
Time Garments Ltd.,/companies/bd/C-24746,Time Garments Ltd.
Sadia Apparels Ltd.,/companies/bd/C-27741,Sadia Apparels Ltd.
Royel Dresses Int'l (Pvt.) Ltd.,,
Crazy Fashions Ltd.,,
TIP TOP FASHIONS LTD.,/companies/bd/C-24262,TIP TOP FASHIONS LTD.
Peak Fashions Ltd.,,
Wear Mag Ltd.,/companies/bd/C-24259,Wear Mag Ltd.
Adhunik Poshak Shilpa Ltd.,/companies/bd/C-24256,Adhunik Poshak Shilpa Ltd.
Mag Sweaters Ltd.,/companies/bd/C-23546,Mag Sweaters Ltd.
Shohag Knitting Ltd.,,
Vision Apparels (Pvt.) Ltd.,,
Mirabella Dresses Ltd.,,
Youngone Hi-Tech Sportswear Inds.Ltd.,,
Samsons Sweaters Ltd.,,
Shomahar Sweaters Ltd.,,
Southern Cross Int'l Ltd.,,
Beacon Sweater Ind. Ltd.,,
Noble Design & Dress Ind. Ltd.,,
Sikder Apparel Hosiery Ltd.,,
Hrb Apparels Ltd.,/companies/bd/C-22571,Hrb Apparels Ltd.
Leader Knit Wear Ltd.,/companies/bd/C-23936,Leader Knit Wear Ltd.
Trade Fashions Industries Ltd.,,
Cotton Line (BD) Ltd.,,
Flash Apparels Ltd.,,
Shanta Apparel Ltd.,,
Jbs Garments (Pvt.) Ltd.,/companies/bd/C-22481,Jbs Garments (Pvt.) Ltd.
Turbo Knit Wear Ltd.,/companies/bd/C-24563,Turbo Knit Wear Ltd.
B. Ghani And Associates Ltd.,/companies/bd/C-21377,B. Ghani And Associates Ltd.
Minimax Ltd.,,
Como Apparels Ltd.,/companies/bd/C-23000,Como Apparels Ltd.
Pastel Apparels Ltd.,,
T.H. Fashions Ltd.,/companies/bd/C-28316,T.H. Fashions Ltd.
Naba Apparels Ltd.,,
M.A. Gaffar Ltd.,,
Moni Sweater Ltd.,/companies/bd/C-23652,Moni Sweater Ltd.
Fame Knitwears Ltd.,/companies/bd/C-24166,Fame Knitwears Ltd.
Wintex Garments Ltd.,/companies/bd/C-22155,Wintex Garments Ltd.
H.R. Fashion,,
Shatil Garments (Pvt.) Ltd.,,
Zia Apparels King Ltd.,/companies/bd/C-24104,Zia Apparels King Ltd.
Elegance Orientale Ltd.,/companies/bd/C-24083,Elegance Orientale Ltd.
Well Tex,,
Uttara Garments Ltd.,/companies/bd/C-23122,Uttara Garments Ltd.
Rhine Fashions (Pvt.) Ltd.,/companies/bd/C-24290,Rhine Fashions (Pvt.) Ltd.
Kimberley Apparels Ltd.,/companies/bd/C-23950,Kimberley Apparels Ltd.
Midway Apparels Ltd.,,
Brooks (BD) Garments Co. Ltd.,,
Arcadia Apparels Ltd.,,
Feroza Garments Ltd.,,
Mouli Garments (Pvt.) Ltd.,,
Hamdil Fashion Wears Ltd.,,
Saad Sewing Ltd.,,
Agami Apparels Ltd.,/companies/bd/C-24828,Agami Apparels Ltd.
Everest Apparels Ltd.,,
Festive (Pvt.) Ltd.,,
Ital Adweg (Pvt.) Ltd.,/companies/bd/C-24974,Ital Adweg (Pvt.) Ltd.
Lucid Apparels Ltd.,/companies/bd/C-24485,Lucid Apparels Ltd.
Jaroms Industries Ltd.,,
Sis Garment'S Limited,/companies/bd/C-21108,Sis Garment'S Limited
F.A.R. Apparel Ltd.,,
Sydney Fashions Ltd.,,
Bengal Apparels,,
Creative Sweaters (Pvt.) Ltd.,,
Amico Apparels Ltd.,,
Focus Fashions Ltd.,,
R.B.R. Fashion,,
M N Sweaters Ltd.,/companies/bd/C-24062,M N Sweaters Ltd.
Nasrin Garments Ltd.,,
Shamrock Knitwear Ltd.,,
Greenland Garments Ltd.,,
Mid Asia Fashions Ltd.,,
Ruskin Apparels Ltd.,,
Sandwip Fashions Ltd.,,
Prottasha Dyeing & Printing Ind.(Pvt)Ltd,,
Mohammadi Knitwears Ltd.,,
Expo Dress Limited,/companies/bd/C-21662,Expo Dress Limited
Ornate Garments Ltd.,/companies/bd/C-24944,Ornate Garments Ltd.
S.R.S. Fashions (Pvt.) Ltd.,,
Abedin Fashion Wear Ltd.,/companies/bd/C-24037,Abedin Fashion Wear Ltd.
Shathi Fashion Apparels,,
Shezads Ltd.,,
Pashmina Sweater Ltd.,,
New Brothers Knitwear Ltd.,/companies/bd/C-24740,New Brothers Knitwear Ltd.
Seo Wan Bangladesh Ltd.,/companies/bd/C-24315,Seo Wan Bangladesh Ltd.
Lyric Garments Ltd.,,
Noor Apparels,,
Fancy Fashion Wear Ltd.,,
B. Brothers Garments Co. Limited,/companies/bd/C-36897,B. Brothers Garments Co. Limited
Chaity Apparels Ltd.,,
Texas Fashions,,
Dada (Savar) Ltd.,/companies/bd/C-24139,Dada (Savar) Ltd.
Khaleque Knitting & Gmt. Ind.(Pvt) Ltd.,,
Expo World Wide Ltd.,,
Sisters Apparel Ltd.,,
Fine Crafts Ltd.,,
Salman Adnan (Pvt.) Ltd.,/companies/bd/C-22815,Salman Adnan (Pvt.) Ltd.
Attune Garments Ltd.,,
Palmal Garments Hosiery Limited,/companies/bd/C-21885,Palmal Garments Hosiery Limited
Comfort Apparels (Pvt.) Ltd.,,
Array Wears Limited,/companies/bd/C-22131,Array Wears Limited
Otobi Apparels (Pvt.) Ltd.,/companies/bd/C-24663,Otobi Apparels (Pvt.) Ltd.
Surma Apparels Ltd.,,
Sob Apparels Ltd.,/companies/bd/C-24375,Sob Apparels Ltd.
Doreen Apparels Ltd.,,
Sweater Fashions Ltd.,,
Impress Fashion Ltd.,,
Sunshine Apparels Ltd.,,
The Overseas Apparels & Embroidery Ltd.,,
East West Dress Pant Ltd.,/companies/bd/C-35183,East West Dress Pant Ltd.
L.A. Fashion (Pvt.) Ltd.,/companies/bd/C-25429,L.A. Fashion (Pvt.) Ltd.
Welform Apparels Ltd.,,
Lethe Apparels Ltd.,,
Luna Apparels (Pvt.) Ltd.,/companies/bd/C-22060,Luna Apparels (Pvt.) Ltd.
Around Star Sweaters Ltd.,,
Elaine Apparels Ltd.,,
Fashion Trust (Pvt.) Ltd.,,
Satorian Fashions (Pvt.) Ltd.,,
Stylo Knitwear (Pvt.) Ltd.,,
Parsa Tex Ltd.,/companies/bd/C-25072,Parsa Tex Ltd.
Good Day Apparels Ltd.,/companies/bd/C-25078,Good Day Apparels Ltd.
Taurus Knitwears (Pvt.) Ltd.,,
Multifabs Ltd.,,
Softex Cotton (Pvt.) Ltd. (U-1),,
Eden Apparels Ltd.,,
Tristar Fashions,,
Fashion Apparels Ltd.,,
Multistyle Costume Ltd.,,
Alauddin & Sons (Pvt.) Ltd. (Gr.Dv.),,
Utah Apparels Ltd.,/companies/bd/C-24305,Utah Apparels Ltd.
Utah Knitwear Limited,/companies/bd/C-26291,Utah Knitwear Limited
Beryl Apparels (Pvt.) Ltd.,/companies/bd/C-24904,Beryl Apparels (Pvt.) Ltd.
She And He Apparels Ltd.,/companies/bd/C-23026,She And He Apparels Ltd.
Seha Apparels Int'l Ltd.,,
Pioneer Casual Wear Ltd.,,
Kaniz Garments Ltd.,,
Patrician Knit Wears Ltd.,,
Kca Garments Industry Ltd.,/companies/bd/C-20879,Kca Garments Industry Ltd.
Phantom Apparels Ltd.,,
Bangladesh Dyeing & Finishing Inds. Ltd.,,
Meditex Industries Ltd.,,
N.R. Knitting Mills Limited,/companies/bd/C-22184,N.R. Knitting Mills Limited
Alif Textiles Ltd.,/companies/bd/C-25990,Alif Textiles Ltd.
Knittex Industries Ltd.,,
MARITIME BAGS LTD.,/companies/bd/C-1281A,MARITIME BAGS LTD.
R.A. Dyeing & Printing Inds.(Pvt) Ltd.,,
Standard Stitches Ltd. (Gmts. Unit),,
Kazipur Fashions Ltd.,,
Imperial Knitting Industries Ltd. (U-2),,
Tulagaon Fashions Ltd.,/companies/bd/C-26855,Tulagaon Fashions Ltd.
Woodland Apparels Ltd.,,
Mollah Apparels Ltd.,,
Garib & Garib Co. Ltd.,,
Parsa Knitting Industries Ltd.,,
Jams Sweaters (Pvt.) Ltd.,/companies/bd/C-25650,Jams Sweaters (Pvt.) Ltd.
Road Apparels Ltd.,,
Great Garments Ltd.,,
Lakhsma Fashion Ltd.,,
Fairlon Garments Ltd.,,
Far East Knitting & Dyeing Ind. Ltd.,,
Fashion Toys Ltd.,/companies/bd/C-23837,Fashion Toys Ltd.
Meer Ala Limited,/companies/bd/C-25642,Meer Ala Limited
Sant Martin Fashions (Pvt) Ltd.,,
Rabbani Garments Ltd.,,
Sandiana Sweaters Ltd.,,
Sun Seeds Apparel Ltd.,/companies/bd/C-21519,Sun Seeds Apparel Ltd.
Odessa Fashions Ltd.,/companies/bd/C-24724,Odessa Fashions Ltd.
Four Brothers Fashion,,
Majestic Apparels Industry Ltd.,,
Azmat Fashions Ltd.,,
Naser Garments Ltd.,,
Patrick Fashions Ltd.,,
Ivy Apparels Limited,/companies/bd/C-26423,Ivy Apparels Limited
Unique Sweater Inds. Ltd.,,
Bonny Knit Fashion Ltd.,,
Farhan Style Ltd.,,
Roshawa Knitwears Ltd. (Unit-2),,
Banani Hosiery Mills,,
B.H.S. Fashions Ltd.,/companies/bd/C-23414,B.H.S. Fashions Ltd.
Young Fashion (Pvt) Ltd.,/companies/bd/C-22689,Young Fashion (Pvt) Ltd.
Stitchwell Designs Ltd.,,
M.S.H. Garments (Pvt.) Ltd.,/companies/bd/C-42575,M.S.H. Garments (Pvt.) Ltd.
The Immaculate Exports Ltd.,,
Lodestar Fashions Ltd.,,
Rolly Apparels Ltd.,,
Ayman Textile and Hosiery Ltd.,/companies/bd/C-23360,Ayman Textile and Hosiery Ltd.
Orbital Sweaters Ltd.,/companies/bd/C-24608,Orbital Sweaters Ltd.
Cotton Dyeing and Finishing Mills Ltd.,/companies/bd/C-26494,Cotton Dyeing and Finishing Mills Ltd.
Purple Apparels Ltd.,,
N.K.K. Knitwear Limited,/companies/bd/C-25781,N.K.K. Knitwear Limited
Marke Knit-Wear Ltd.,,
Maitri Knittings Ltd.,,
Trasco Apparels Ltd.,,
Ratul Garments,,
Masud Apparels Ltd.,/companies/bd/C-27238,Masud Apparels Ltd.
Victory Knittings (Pvt) Ltd.,,
Angora Sweaters Ltd.,,
Paddock's Jeans Ltd.,,
Philadelphia Apparels Ltd.,,
Unison Knitwear Ltd.,,
Ca Knitwear Ltd.,/companies/bd/C-22535,Ca Knitwear Ltd.
Knit Garden (Pvt) Ltd.,,
Attires Manufacturing Company Ltd.,,
Saba Knit Apparels Ltd.,/companies/bd/C-22684,Saba Knit Apparels Ltd.
Paltan Export House Ltd.,,
Six-H Garments Ltd.,,
Hanaro Fashions Ltd.,,
Hisna Knitting Complex (Pvt.) Ltd.,/companies/bd/C-21008,Hisna Knitting Complex (Pvt.) Ltd.
Le Nouveautex (Pvt.) Ltd.,/companies/bd/C-23875,Le Nouveautex (Pvt.) Ltd.
Florence Fabrics Ltd.,,
Bichitra Garments Ltd.,/companies/bd/C-13421,Bichitra Garments Ltd.
Munni Garments,,
Pandemic Fashions Ltd.,,
Newtex Apparel Wear Ltd.,,
Amber Apparels & Textiles Ltd.,,
Cd Acrylic Bangladesh Ltd.,/companies/bd/C-23594,Cd Acrylic Bangladesh Ltd.
Nipun Pte Ltd.,/companies/bd/C-27487,Nipun Pte Ltd.
Sikam Outwear Limited,/companies/bd/C-26707,Sikam Outwear Limited
Savar Textiles Ltd.,,
Supasox Ltd.,,
Fuji Knit & Fashion Wear Ltd.,,
A.R. Apparels Ltd.,,
Verbena Knitwear Limited,/companies/bd/C-26210,Verbena Knitwear Limited
Hisam Apparels Ltd.,/companies/bd/C-27461,Hisam Apparels Ltd.
Green Lotus (Pvt) Ltd.,,
South East Fabrics Ltd.,/companies/bd/C-28467,South East Fabrics Ltd.
Fair Child Sports Wear Ltd.,/companies/bd/C-23890,Fair Child Sports Wear Ltd.
Birds Fadrex Ltd.,,
Adorn Garments Ltd.,/companies/bd/C-26778,Adorn Garments Ltd.
Kanak Hosiery,,
Newage Apparels Ltd.,,
Tex Style Garments Ltd.,/companies/bd/C-28462,Tex Style Garments Ltd.
Jng Fashion Fabrics Ltd.,/companies/bd/C-24535,Jng Fashion Fabrics Ltd.
Multiple Fashions Ltd.,,
Bismillah Apparels Ltd.,,
Wega Fashion Sweater (Pvt.) Ltd.,,
Roland International Ltd.,,
B.R. Knitting Mills,,
K.R.C. Top Shirts Ltd.,/companies/bd/C-27730,K.R.C. Top Shirts Ltd.
Aji Apparels Industry Ltd.,/companies/bd/C-28609,Aji Apparels Industry Ltd.
Navy Hosiery,,
Lenny Fashions Ltd.,/companies/bd/C-26850,Lenny Fashions Ltd.
Astex Garments Ltd.,/companies/bd/C-27972,Astex Garments Ltd.
A and H Enterprises Limited,/companies/bd/C-22843,A and H Enterprises Limited
Lusaka Fashion Ltd.,/companies/bd/C-28318,Lusaka Fashion Ltd.
Wintex Fashion Wear Limited,/companies/bd/C-27968,Wintex Fashion Wear Limited
Rahan Garments (Pvt.) Ltd.,/companies/bd/C-23840,Rahan Garments (Pvt.) Ltd.
Capital Designs Limited,,
Outright Fashion Ltd.,/companies/bd/C-27331,Outright Fashion Ltd.
Friends World Knit Wears Ltd.,,
H.M. Style Ltd.,/companies/bd/C-28126,H.M. Style Ltd.
Dynasty Knit Fashions Ltd.,,
Islam Products Ltd.,/companies/bd/C-20140,Islam Products Ltd.
Baridhi Garments Ltd.,,
M.M. Trade Apparels,,
Fatullah Dyeing and Calendering Mills Ltd.,/companies/bd/C-13430,Fatullah Dyeing and Calendering Mills Ltd.
Actor Sporting Limited,,
Mansheen Co. (BD) Limited.,,
Bela Fashions Ltd.,/companies/bd/C-28385,Bela Fashions Ltd.
Panache Knitted Creations Ltd.,,
Opex Fashions Limited,/companies/bd/C-25832,Opex Fashions Limited
Posh Sweater Limited,,
Claxton Apparels and Textiles Ltd.,,
Radix Limited,,
The Shanin Ltd.,,
Toyo Composite Knit Garments Ltd.,,
Conexpo (Garments & Sweater Division) Ltd.,,
Farnoor Garments Ltd.,,
Dhan Sheree Knitting Limited.,/companies/bd/C-26641,Dhan Sheree Knitting Limited.
Pierre Leon Ltd.,/companies/bd/C-29083,Pierre Leon Ltd.
Crystal Wears Ltd.,,
Sgwicus (BD) Limited,,
Murad Apparels Ltd.,,
Nice Apparels Inds. Ltd.,,
Seha International Bangladesh Ltd.,,
A.G. Dresses Ltd.,/companies/bd/C-29947,A.G. Dresses Ltd.
Kessler Fashion Industries Ltd.,/companies/bd/C-29486,Kessler Fashion Industries Ltd.
Apparel Mart Ltd.,/companies/bd/C-28206,Apparel Mart Ltd.
Youngones (BD) Ltd. Unit-2,,
Oli Knitting Fabrics Limited,/companies/bd/C-21220,Oli Knitting Fabrics Limited
Z and M Apparels Ltd.,/companies/bd/C-29808,Z and M Apparels Ltd.
Experience Clothing Co. Ltd.,,
Armana Fashions Ltd.,/companies/bd/C-28697,Armana Fashions Ltd.
Shah Keramat Garments Ltd.,/companies/bd/C-29837,Shah Keramat Garments Ltd.
Dynamic Fashions Ltd.,,
Proshiu Bastra Limited,,
Youth Fashion Ltd.,/companies/bd/C-23456,Youth Fashion Ltd.
Taj Knitting Inds. Ltd.,,
Rupa Fashions (Pvt.) Limited,/companies/bd/C-29325,Rupa Fashions (Pvt.) Limited
Noble Industries (BD) Ltd.,,
Hamid Fashion Limited,,
Iqbal Texware Limited,,
Shovon Silk & Knitting Mills (Pvt) Ltd.,,
Nazia Fashion Limited,,
Cad Tex Garments Ltd.,/companies/bd/C-29657,Cad Tex Garments Ltd.
Wright Garments (Pvt) Ltd.,/companies/bd/C-11882,Wright Garments (Pvt) Ltd.
Alif Outwears Ltd.,/companies/bd/C-30385,Alif Outwears Ltd.
Meghdut Industries Ltd.,,
Dress Design (Pvt) Limited,,
Daniel Knitwear Limited,,
Van Happen Fashion Manufacturing Ltd.,,
Tex-Knit Garments Ltd.,,
Razzak Textile Mills Limited,,
Prominent Apparels,,
Flamingo Apparels Ltd.,,
J.K. Fabrics Ltd. Unit-2,,
Sikder Creation Ltd.,,
The Faiyaz Ltd.,,
United Knit Wears (Pvt) Ltd.,,
Cotton Textile And Apparels Ltd.,,
Babylon Dresses Ltd.,,
Padma Satel Arab Fashions Ltd.,/companies/bd/C-24130,Padma Satel Arab Fashions Ltd.
Luman Dresses Ltd.,/companies/bd/C-30234,Luman Dresses Ltd.
Radial International Ltd.,,
K.R.C. Composite Textile Industry Ltd.,/companies/bd/C-25541,K.R.C. Composite Textile Industry Ltd.
Sma Bags Ltd.,/companies/bd/C-28556,Sma Bags Ltd.
Hornbill Apparel Ltd.,,
Mark Designers Ltd.,/companies/bd/C-28500,Mark Designers Ltd.
Eraksasa Apparels Ltd.,/companies/bd/C-35955,Eraksasa Apparels Ltd.
Knit Concern Ltd.,,
House of Sunshine Knitwear Ltd.,/companies/bd/C-28125,House of Sunshine Knitwear Ltd.
Al-Islam Fashion Wears Ltd.,,
Tivoli Apparels Ltd.,,
Robintex (Bangladesh) Limited,,
Beautiful Jackets Ltd.,,
Tokio Mode Ltd.,/companies/bd/C-21417,Tokio Mode Ltd.
Esquire Knitwear Limited,,
Kumudini Apparels,,
Sany Industry and Business Ltd.,/companies/bd/C-28944,Sany Industry and Business Ltd.
Zawad Fashions Limited,/companies/bd/C-31321,Zawad Fashions Limited
Fashion Skirt & Trousers Ltd.,,
Design Textile (BD) Limited,,
Padma Polycotton Knit Fabrics Ltd.,,
Arch Ltd.,/companies/bd/C-24436,Arch Ltd.
M & M Shirts Ltd.,,
Essential Knitting,,
Agami Fashions Ltd.,/companies/bd/C-30204,Agami Fashions Ltd.
S.R. Apparels Ltd.,,
Maurisus Intercontinental Ltd.,,
Parkscene Bangladesh Ltd.,,
Bangladesh Dresses Ltd.(Unit-2),,
Chun Ji Knit Ltd.,/companies/bd/C-31867,Chun Ji Knit Ltd.
S. K. Fashions Ltd.,/companies/bd/C-24451,S. K. Fashions Ltd.
Moon Readywears Ltd.,,
Gumti Textiles Ltd.,/companies/bd/C-23926,Gumti Textiles Ltd.
Well Sweaters,,
Life Textile (Pvt.) Ltd.,,
Palmal Styles Ltd.,/companies/bd/C-27155,Palmal Styles Ltd.
Absolute Quality Wear Ltd.,/companies/bd/C-32184,Absolute Quality Wear Ltd.
Birds Garments Ltd. Unit-2,,
Arrow Sports Wear Ltd.,/companies/bd/C-31803,Arrow Sports Wear Ltd.
Delta Ties Limited.,/companies/bd/C-32432,Delta Ties Limited.
Rezaul & Brothers (Pvt.) Ltd.,,
Tosy Knit Fabrics Ltd.,,
The Yolk Designs Ltd.,/companies/bd/C-32056,The Yolk Designs Ltd.
Tung Hai Sweaters Ltd.,/companies/bd/C-31741,Tung Hai Sweaters Ltd.
Athletic Support Ltd.,/companies/bd/C-31402,Athletic Support Ltd.
Diplomat Fashion Wear (Pvt.) Ltd.,,
M.B. Knit Fashion,,
Sweaters Boutique Ltd.,/companies/bd/C-31253,Sweaters Boutique Ltd.
Peoples Fashion Limited,,
Creative Apparels Ltd.,,
United Fashion Trousers Ltd.,/companies/bd/C-30519,United Fashion Trousers Ltd.
Paradise Dresses Ltd.,,
Ma Fashions Ltd.,/companies/bd/C-30964,Ma Fashions Ltd.
Rupashi Fashions Ltd.,,
Seacotex Fabrics Ltd.,,
Pritam Fashion Wear (Pvt.) Ltd.,,
Liz Fashion Industry Limited,/companies/bd/C-33720,Liz Fashion Industry Limited
R G R Sweater Limited,/companies/bd/C-32219,R G R Sweater Limited
R.R. Sweaters Ltd.,,
Sinha Wool Wears Ltd.,,
Capital Sweater Limited,,
Allure Apparel Ltd.,,
The Sweater (Factory) Co. Ltd.,/companies/bd/C-33124,The Sweater (Factory) Co. Ltd.
Shahriyar Fabric Inds. Ltd.,,
Shafi Processing Inds. Ltd.,,
K. Ali Sweater Industries Limited,/companies/bd/C-35222,K. Ali Sweater Industries Limited
Haesong Korea Ltd.,,
Divine Textile Ltd.,,
Rahimaaziz Knitspin Limited,,
Seibu Fashions Ltd.,,
News Style Garments Ltd.,/companies/bd/C-28246,News Style Garments Ltd.
Qayium Garments Ltd.,/companies/bd/C-33737,Qayium Garments Ltd.
Feather Tex Limited,/companies/bd/C-26189,Feather Tex Limited
Ameen Fabrics Ltd.,/companies/bd/C-10996,Ameen Fabrics Ltd.
Sinha Fabrics Ltd.,,
York Fashion Ltd,/companies/bd/C-33556,York Fashion Ltd
Han A Hat & Caps Ltd.,,
Fashion of Next Generation Ltd.,,
Todays Fashion Ltd.,,
Doel Apparels Limited,/companies/bd/C-25550,Doel Apparels Limited
The Fashion Island Ltd.,/companies/bd/C-33068,The Fashion Island Ltd.
Palmal Knitwear Factory Ltd. (Unit-2),,
Zaf Sweater  And Garments Ltd.,,
Kimia Garments Ind. Ltd.,,
Rising Fashions Ltd.,,
Mohammadi Designers Ltd.,,
Floret Fashion Wears (Pvt) Ltd.,,
Lyric Fashion Wear Ltd.,/companies/bd/C-31535,Lyric Fashion Wear Ltd.
Rumana Fashion Ltd.,,
Mondol Textile Ltd.,,
Elate Fashion Ltd.,,
Defoin Design (Pvt) Ltd.,,
The Immaculate Apparels Ltd.,,
Fashions Suits And Trousers Ltd.,,
Al-Muslim Fashions Wear Ltd.,,
Rose Fashion Ltd.,,
Opex Designers Limited,/companies/bd/C-25840,Opex Designers Limited
Tausif Apparels,,
Paradise Hi-Design Ltd.,/companies/bd/C-33334,Paradise Hi-Design Ltd.
Evergreen Sweaters ltd.,,
Thai Bangla Imperial Ltd.,,
Hamid Textile Mills Ltd.,,
Europa Textile Mills Ltd.,,
Design Sportswear (BD) Ltd.,,
Classic Supplies Ltd.,,
Fancy Fashion Sweaters Ltd.,,
Baby's Fashions Ltd.,,
R.B. Garments Limitied,/companies/bd/C-34270,R.B. Garments Limitied
Esteem Apparels Ltd.,,
Global Outerwear Limited,/companies/bd/C-34451,Global Outerwear Limited
Designer Line (Pvt) Ltd.,,
Ritz Fashions Ltd.,,
N.K.K. Sweaters Ltd.,/companies/bd/C-34068,N.K.K. Sweaters Ltd.
Fci (Bd) Ltd.,/companies/bd/C-37988,Fci (Bd) Ltd.
Brishti Garments Ltd.,,
M-Yew Fashion Ltd.,,
Rahman Knit Garments Ltd. (Unit-2),,
Uni Dress Ltd.,/companies/bd/C-29165,Uni Dress Ltd.
Saasco Garments Ltd.,,
Pioneer Apparels Ltd.,,
Genius Fashions Ltd.,,
Alltex Industries Ltd.,,
Apex Weaving and Finishing Mills Ltd.,/companies/bd/C-24863,Apex Weaving and Finishing Mills Ltd.
Sark Knitwear Ltd.,/companies/bd/C-34004,Sark Knitwear Ltd.
Macys Fashions Ltd.,/companies/bd/C-28001,Macys Fashions Ltd.
Shezads Limited (Unit-II),,
Green Knit Apparels Ltd.,,
Biswas Fashions Ltd.,,
Youngones Fashions Limited,/companies/bd/C-34489,Youngones Fashions Limited
Medlar Fashions Ltd.,,
Fountain Garments Manufacturing Ltd.,,
Jaya Knitting Ltd.,/companies/bd/C-34130,Jaya Knitting Ltd.
S.B. Fashions Garments,,
Sajid Apparels Ltd.,/companies/bd/C-34377,Sajid Apparels Ltd.
Cut N Sew Limited,/companies/bd/C-33562,Cut N Sew Limited
Bengal Fine Knitex Limited,/companies/bd/C-26691,Bengal Fine Knitex Limited
Sunlit Fashions Ltd.,,
Supertex Merchandising Co. Ltd.,,
T.S. Sweaters Limited,/companies/bd/C-35010,T.S. Sweaters Limited
Rupa Apparels Ltd.,/companies/bd/C-34250,Rupa Apparels Ltd.
Creative Garments Ltd.,,
Glory Fashion Wear Ltd.,,
Sicily Garments Ltd.,,
La-Belle Apparels (Pvt.) ltd.,,
Reliable Fabrics Ltd.,,
Fashion Knit Garments Ltd.,,
N.N. Sweaters Limited,/companies/bd/C-34992,N.N. Sweaters Limited
Levant Knitting and Garments Ltd.,/companies/bd/C-26634,Levant Knitting and Garments Ltd.
Sabit Sports Wear Ltd.,,
Sanchita Garments Ltd.,,
Sk Sweaters Limited,/companies/bd/C-34697,Sk Sweaters Limited
S.K. Apparels Ltd.,/companies/bd/C-35023,S.K. Apparels Ltd.
Comfort Knit Fashion Ltd.,,
Tusuka Jeans Ltd.,/companies/bd/C-32063,Tusuka Jeans Ltd.
Ashiana Garments Industries,,
Ornate Apparels Ltd.,/companies/bd/C-34842,Ornate Apparels Ltd.
S.M.I. Productions (Pvt.) Ltd.,/companies/bd/C-31077,S.M.I. Productions (Pvt.) Ltd.
Farnoor Sweaters Ltd.,,
Fashion Exposure Ltd.,,
Smooth Apparels Ltd.,,
Secotex Limited.,,
Scan Trade Limited,,
Doel Sweater Ltd.,,
Radiance Apparel Ltd.,,
Four Wings Limited.,/companies/bd/C-33096,Four Wings Limited.
Bangladesh Luggage Industries Ltd.,/companies/bd/C-29715,Bangladesh Luggage Industries Ltd.
Ethical Garments Ltd.,/companies/bd/C-35512,Ethical Garments Ltd.
Skyline Casual Apparels Ltd.,,
Fashion Concern Ltd.,,
Quality Fashion Ltd.,,
Surma Garments Ltd.,,
Ming Yang Sports Wear Ltd.,/companies/bd/C-35306,Ming Yang Sports Wear Ltd.
Hossain Fashion Ltd.,,
Chowdhury Garments Ltd.,,
Shanta Industries Ltd.,,
S.F. Denim Apparels Limited,/companies/bd/C-35142,S.F. Denim Apparels Limited
F.R.M. Fashion House Limited,/companies/bd/C-35084,F.R.M. Fashion House Limited
Faa Design Limited,/companies/bd/C-34471,Faa Design Limited
Asrotex Ltd.,/companies/bd/C-58731,Asrotex Ltd.
Islam Garments Ltd.(Textile Division),,
Islam Garments Ltd.(Knitwear Division),,
B.H.I.S. Apparels Ltd.,/companies/bd/C-35832,B.H.I.S. Apparels Ltd.
New Generation Fashion Ltd.,/companies/bd/C-34844,New Generation Fashion Ltd.
Big Boss Corporation Limited,/companies/bd/C-35326,Big Boss Corporation Limited
Deer Fashions Ltd.,,
Hayat Fashion Ltd.,,
Asif Apparels Ltd.,/companies/bd/C-32573,Asif Apparels Ltd.
Dornick Apparels Ltd.,,
