factory_name,oc id,oc name
Gemini Garments Ltd.,,
Sharaka Industries Ltd.,,
Sun Bird Garments Ind. (Pvt.) Ltd.,,
Shoronika Fashion Wear Inds. Ltd.,,
Fashions Ltd.,,
Associated Garments Ltd,,
City Apparels Int. Ltd.,,
Paradise Fashions (Pvt). Ltd.,,
J.B. Garments Ltd.,/companies/bd/C-12793,J.B. Garments Ltd.
Roma Garments & Textiles (Pvt) Ltd.,,
Tulip Garments Ltd.,/companies/bd/C-12254,Tulip Garments Ltd.
Russel Garments,,
Miswar Hosiery Mills (P) Ltd.,,
Master Garments Ltd.,,
Milan Apparels Ltd.,,
Envoy Garments Ltd.,,
Eve Garments Ltd.,/companies/bd/C-11981,Eve Garments Ltd.
Sterling Garments Ltd.,,
Evershine Ltd.,,
Sincere Garments Ltd.,,
The Dacca Dying Garments Ltd.,,
Rouf & Brothers Garments Ltd.,,
Melody Garments Ltd.,,
Uranus Apparel (Pvt.) Ltd.,,
Crescent Trade Intl. Ltd.,,
Seven Seas Garments Ltd.,/companies/bd/C-12913,Seven Seas Garments Ltd.
Asha Garments Ltd.,/companies/bd/C-12027,Asha Garments Ltd.
Hamid And Sons Ltd.,/companies/bd/C-12694,Hamid And Sons Ltd.
Atlantic Garments Ltd.,,
Orchid Garments Ltd.,/companies/bd/C-13125,Orchid Garments Ltd.
Miami Garments,,
Cambridge Garments Ltd.,/companies/bd/C-12288,Cambridge Garments Ltd.
The Immaculate (Pvt.) Ltd.,,
The Best Denim Apparel Ltd. (Unit-1),,
General Garments Ltd.,,
Aukson Garments Ltd.,/companies/bd/C-12725,Aukson Garments Ltd.
Levies Garments (Pvt.) Ltd.,/companies/bd/C-11539,Levies Garments (Pvt.) Ltd.
Desh Bangla Fashions Ltd.,,
Shanta Garments Int'l Ltd.,,
Seamens Garments Ltd.,,
Sun Garments,,
Binni Garments Ltd,,
Medlar Garments Ltd.,,
East West Fashion Garments Ltd.,/companies/bd/C-13302,East West Fashion Garments Ltd.
Rupashi Garments Ltd.,,
Garmex Limited,,
Dawn Garments And Textiles Ltd.,,
Global Fashion Garments Ltd.,,
The 'M' Garment Inds. (Pvt.) Ltd.,,
Jako Garments,,
Ehsan Garments Ltd.,/companies/bd/C-11756,Ehsan Garments Ltd.
Chemisere (Pvt) Ltd.,,
Voyager Garments Limited,/companies/bd/C-11524,Voyager Garments Limited
Ayesha Enterprise (Garments) Ltd.,/companies/bd/C-13961,Ayesha Enterprise (Garments) Ltd.
Utah Garments Ltd.,/companies/bd/C-12355,Utah Garments Ltd.
Gemmy Garments Ltd.,,
Aparupa Garments Inds. Ltd,,
Beat Garments Ltd.,,
Simco Bangladesh Ltd.,,
Savar Garments Ltd.,,
Fashrobe Garments Ltd.,,
World Fashions Ltd.,,
Azim & Sons (Pvt.) Ltd.,,
Century Fashion Wear (Pvt) Ltd.,,
Prince Fashionwear Ltd.,,
Doreen Garments Ltd.,,
Urmi Garments Ltd.,/companies/bd/C-12097,Urmi Garments Ltd.
Dalia Garments Ltd.,/companies/bd/C-12367,Dalia Garments Ltd.
Alif Garments Ltd.,/companies/bd/C-12152,Alif Garments Ltd.
Jaycee Fashions (Pvt.) Ltd.,,
Jonaki Garments Ltd.,/companies/bd/C-12441,Jonaki Garments Ltd.
Swan Garments (Pvt.) Ltd.,,
Rene And Shelley Ltd.,,
Dhaka Continental Garments Ltd.,,
Brothers Fashion Limited,,
Babylon Garments Limited,,
Novel Garments Inds. Ltd.,,
Solar Garments (Pvt) Ltd.,,
Excelsior Garments Ltd.,,
Titan Apparels Ltd.,,
The Rose Garments Intl. (Pvt.) Ltd.,,
Saleha Garments Ltd.,/companies/bd/C-13219,Saleha Garments Ltd.
Panorama Garments Ltd.,,
Speedwell Ltd.,,
Amco Fashions Ltd.,/companies/bd/C-13247,Amco Fashions Ltd.
Zyta Garments Limited,/companies/bd/C-33880,Zyta Garments Limited
Dawn Garments Limited,,
EASY WEAR LIMITED.,/companies/bd/C-1198,EASY WEAR LIMITED.
Cheung Hing Sweater (BD) Ltd.,,
Sepal Garments Ltd.,,
Azim Garments Ltd.,,
Boston Garments Ind.(Pvt) Ltd.,,
Shamoli Garments Ltd.,,
Nadia Garments Ltd.,/companies/bd/C-11482,Nadia Garments Ltd.
New Season Garments Ltd.,/companies/bd/C-12269,New Season Garments Ltd.
Western & Eastern Apparels Ltd.,,
The Silver Garments Bangladesh Ltd.,,
H.A. Garments Inds. Ltd.,,
Anupam Apparels (Pvt.) Ltd.,/companies/bd/C-17123,Anupam Apparels (Pvt.) Ltd.
Esquire Fashion Ltd.,,
Lucky Garments Inds. (Pvt) Ltd. (U-2),,
SHAH MAKHDUM GARMENTS LIMITED,/companies/bd/C-12067,SHAH MAKHDUM GARMENTS LIMITED
Padma Satel Arab Apparels Ltd.,,
Krk Garments Ltd.,/companies/bd/C-16247,Krk Garments Ltd.
The New Rose Garments (Pvt.) Ltd.,/companies/bd/C-12575,The New Rose Garments (Pvt.) Ltd.
Minar Textiles (Garments Div.),,
Wisdom Attires Limited,/companies/bd/C-20226,Wisdom Attires Limited
Fairmen Limited,,
Columbia Garments Ltd.,,
Probal Garments Ltd.,,
S. Nahar Garments & Textile Mills Ltd.,,
Monowara Textile Mills Ltd.,,
Perag Sock Inds. Ltd.,,
Falcon International,,
Ruhila Garments,,
Basic Apparels Ltd.,,
Fashion Trousers Ltd.,,
New Modern Garments Industry Ltd.,,
Supreme Fashion Wear Ltd.,,
Universal Textile Alliance Ltd. (U-2),,
S. Sultana Garments Ltd.,,
Pritha Apparels Ltd.,,
Brothers Knitwear Ltd.,,
Palash Garments Ltd.,,
Diplomat Garments (Pvt) Ltd.,,
Paris Knitting (Pvt) Ltd.,,
Fashion House (Southern) Ltd.,,
Unitech Fashions Ltd.,/companies/bd/C-20925,Unitech Fashions Ltd.
Nova Apparels,,
Prostar Industrial Co. Ltd.,,
KND Garments & Hosiery,,
Raz Knitting Apparel Ltd.,,
Latest Garments Ltd.,,
Cotton N Cotton Garments Inds. Ltd.,,
Ahmed Fashions,,
Inter-Knit,,
Dhaka Knitting Ltd.,,
Green Knit Wear,,
The Finery Ltd.,/companies/bd/C-19774,The Finery Ltd.
Karnaphuli Fabrics Ltd.,,
Wintex Apparels Limited,/companies/bd/C-19874,Wintex Apparels Limited
Mascot Fashions Ltd.,,
Europa Apparels Ltd.,,
Sikder Apparel Ltd.,,
Poshak Limited,,
TIMES APPAREL LIMITED,/companies/bd/C-22341,TIMES APPAREL LIMITED
Dragon Sweater (BD) Ltd.,,
Ha-Meem Apparels,,
Asha Fashions Ltd.,/companies/bd/C-34002,Asha Fashions Ltd.
Thats It Fashions Ltd.,/companies/bd/C-29736,Thats It Fashions Ltd.
Sinha Apparels Ltd.,,
Honeywell Garments Ltd.,,
Space Garments Industry Ltd.,/companies/bd/C-20441,Space Garments Industry Ltd.
World Mart Fashion Ltd.,,
K. Mart Fashion Ltd.,/companies/bd/C-20186,K. Mart Fashion Ltd.
Eham Garments,,
Superman Garments Ltd.,,
Zahan Garments (Pvt.) Ltd.,,
Armour Garments Ltd.,/companies/bd/C-20327,Armour Garments Ltd.
Interwing Knit Wears Ltd.,,
The National Apparels Ltd.,,
Modern Garments Ltd.,,
Miswar Hosiery Mills (P) Ltd. (H.D),,
Sunmoon Apparels Ltd.,,
Friends Knittings Ltd.,,
Kalam Knitwork Limited,,
Union Apparel Ltd.,,
Ornate Knit Garment Industries Ltd.,/companies/bd/C-20692,Ornate Knit Garment Industries Ltd.
Farha Apparels Ltd.,,
United Shirts Limited.,/companies/bd/C-32844,United Shirts Limited.
Al-Hamra Garments Ltd.,,
Mustaque Fashion Wear,,
Recent Garment and Kniting Inds. Ltd.,,
